item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
MED001,Medical Kit,30,25,15,5,5,2025-12-31,10,A
FOOD001,Food Supply,45,35,25,20,4,2024-06-30,5,B
COMM001,Communication Device,20,15,10,2,5,,3,A
TOOL001,Tool Box,40,30,20,15,3,,,C
WATER001,Water Purifier,35,25,20,8,4,2023-12-31,,B
SOLAR001,Solar Panel,80,60,5,12,3,,,D
SURV001,Survival Gear,50,40,30,18,5,,,A
EMER001,Emergency Beacon,15,10,8,1,5,2026-01-15,1,A
ELEC001,Electronics Kit,25,20,15,4,2,,,C
CLOTH001,Clothing Pack,40,30,25,10,1,,,E 